PinOut_1,PinOut_2,Voltage_1,Voltage_2,P_x,P_y,S1,dS1_dV,dPx_dV,dPy_dV,Mode_Locked,S1_MLd
220,183,4.3137255,3.5882353,52,51,0.0097,-0.1725,-16,-1,0,#N/A
220,184,4.3137255,3.6078431,57,52,0.0459,-0.0362,-5,-1,0,#N/A
220,185,4.3137255,3.627451,62,46,0.1481,-0.1022,-5,6,0,#N/A
220,186,4.3137255,3.6470588,61,43,0.1731,-0.025,1,3,0,#N/A
220,187,4.3137255,3.6666667,65,40,0.2381,-0.065,-4,3,0,#N/A
220,188,4.3137255,3.6862745,72,40,0.2857,-0.0476,-7,0,0,#N/A
220,189,4.3137255,3.7058824,72,36,0.3333,-0.0476,0,4,0,#N/A
220,190,4.3137255,3.7254902,74,38,0.3214,0.0119,-2,-2,0,#N/A
220,191,4.3137255,3.745098,79,29,0.463,-0.1416,-5,9,0,#N/A
220,192,4.3137255,3.7647059,82,23,0.5619,-0.0989,-3,6,0,#N/A
220,193,4.3137255,3.7843137,80,29,0.4679,0.094,2,-6,0,#N/A
220,194,4.3137255,3.8039216,87,26,0.5398,-0.0719,-7,3,0,#N/A
220,195,4.3137255,3.8235294,89,29,0.5085,0.0313,-2,-3,0,#N/A
220,196,4.3137255,3.8431373,89,24,0.5752,-0.0667,0,5,0,#N/A
220,197,4.3137255,3.8627451,89,21,0.6182,-0.043,0,3,0,#N/A
220,198,4.3137255,3.8823529,88,25,0.5575,0.0607,1,-4,0,#N/A
220,199,4.3137255,3.9019608,92,22,0.614,-0.0565,-4,3,0,#N/A
220,200,4.3137255,3.9215686,91,17,0.6852,-0.0712,1,5,0,#N/A
220,201,4.3137255,3.9411765,95,18,0.6814,0.0038,-4,-1,0,#N/A
220,202,4.3137255,3.9607843,92,23,0.6,0.0814,3,-5,0,#N/A
220,203,4.3137255,3.9803922,92,12,0.7692,-0.1692,0,11,0,#N/A
220,204,4.3137255,4,90,18,0.6667,0.1025,2,-6,0,#N/A
220,205,4.3137255,4.0196078,91,23,0.5965,0.0702,-1,-5,0,#N/A
220,206,4.3137255,4.0392157,91,25,0.569,0.0275,0,-2,0,#N/A
220,207,4.3137255,4.0588235,88,22,0.6,-0.031,3,3,0,#N/A
220,208,4.3137255,4.0784314,86,28,0.5088,0.0912,2,-6,0,#N/A
220,209,4.3137255,4.0980392,83,22,0.581,-0.0722,3,6,0,#N/A
220,210,4.3137255,4.1176471,82,24,0.5472,0.0338,1,-2,0,#N/A
220,211,4.3137255,4.1372549,81,24,0.5429,0.0043,1,0,0,#N/A
220,212,4.3137255,4.1568627,82,20,0.6078,-0.0649,-1,4,0,#N/A
220,213,4.3137255,4.1764706,79,27,0.4906,0.1172,3,-7,0,#N/A
220,214,4.3137255,4.1960784,77,36,0.3628,0.1278,2,-9,0,#N/A
220,215,4.3137255,4.2156863,67,36,0.301,0.0618,10,0,0,#N/A
220,216,4.3137255,4.2352941,60,35,0.2632,0.0378,7,1,0,#N/A
220,217,4.3137255,4.254902,59,34,0.2688,-0.0056,1,1,0,#N/A
220,218,4.3137255,4.2745098,66,33,0.3333,-0.0645,-7,1,0,#N/A
220,219,4.3137255,4.2941176,60,43,0.165,0.1683,6,-10,0,#N/A
220,220,4.3137255,4.3137255,56,49,0.0667,0.0983,4,-6,0,#N/A
220,221,4.3137255,4.3333333,52,55,-0.028,0.0947,4,-6,0,#N/A
220,222,4.3137255,4.3529412,50,52,-0.0196,-0.0084,2,3,0,#N/A
220,223,4.3137255,4.372549,42,49,-0.0769,0.0573,8,3,0,#N/A
220,224,4.3137255,4.3921569,46,55,-0.0891,0.0122,-4,-6,0,#N/A
220,225,4.3137255,4.4117647,45,54,-0.0909,0.0018,1,1,0,#N/A
220,226,4.3137255,4.4313725,42,56,-0.1429,0.052,3,-2,0,#N/A
220,227,4.3137255,4.4509804,45,55,-0.1,-0.0429,-3,1,0,#N/A
220,228,4.3137255,4.4705882,43,59,-0.1569,0.0569,2,-4,0,#N/A
220,229,4.3137255,4.4901961,47,55,-0.0784,-0.0785,-4,4,0,#N/A
220,230,4.3137255,4.5098039,43,64,-0.1963,0.1179,4,-9,0,#N/A
220,231,4.3137255,4.5294118,42,58,-0.16,-0.0363,1,6,0,#N/A
220,232,4.3137255,4.5490196,39,65,-0.25,0.09,3,-7,0,#N/A
220,233,4.3137255,4.5686275,45,54,-0.0909,-0.1591,-6,11,0,#N/A
220,234,4.3137255,4.5882353,46,62,-0.1481,0.0572,-1,-8,0,#N/A
220,235,4.3137255,4.6078431,51,72,-0.1707,0.0226,-5,-10,0,#N/A
220,236,4.3137255,4.627451,49,54,-0.0485,-0.1222,2,18,0,#N/A
220,237,4.3137255,4.6470588,56,51,0.0467,-0.0952,-7,3,0,#N/A
220,238,4.3137255,4.6666667,56,53,0.0275,0.0192,0,-2,0,#N/A
220,239,4.3137255,4.6862745,51,46,0.0515,-0.024,5,7,0,#N/A
220,240,4.3137255,4.7058824,56,50,0.0566,-0.0051,-5,-4,0,#N/A
220,241,4.3137255,4.7254902,51,52,-0.0097,0.0663,5,-2,0,#N/A
220,242,4.3137255,4.745098,53,52,0.0095,-0.0192,-2,0,0,#N/A
220,243,4.3137255,4.7647059,53,55,-0.0185,0.028,0,-3,0,#N/A
220,244,4.3137255,4.7843137,54,40,0.1489,-0.1674,-1,15,0,#N/A
220,245,4.3137255,4.8039216,54,54,0,0.1489,0,-14,0,#N/A
220,246,4.3137255,4.8235294,50,50,0,0,4,4,0,#N/A
220,247,4.3137255,4.8431373,53,53,0,0,-3,-3,0,#N/A
220,248,4.3137255,4.8627451,56,50,0.0566,-0.0566,-3,3,0,#N/A
220,249,4.3137255,4.8823529,51,52,-0.0097,0.0663,5,-2,0,#N/A
220,250,4.3137255,4.9019608,53,52,0.0095,-0.0192,-2,0,0,#N/A
220,251,4.3137255,4.9215686,51,53,-0.0192,0.0287,2,-1,0,#N/A
220,252,4.3137255,4.9411765,51,54,-0.0286,0.0094,0,-1,0,#N/A
220,253,4.3137255,4.9607843,59,55,0.0351,-0.0637,-8,-1,0,#N/A
220,254,4.3137255,4.9803922,40,21,0.3115,-0.2764,19,34,0,#N/A
221,0,4.3333333,0,27,75,-0.4706,0.7821,13,-54,0,#N/A
221,1,4.3333333,0.0196078,20,77,-0.5876,0.117,7,-2,0,#N/A
221,2,4.3333333,0.0392157,25,79,-0.5192,-0.0684,-5,-2,0,#N/A
221,3,4.3333333,0.0588235,19,73,-0.587,0.0678,6,6,0,#N/A
221,4,4.3333333,0.0784314,18,78,-0.625,0.038,1,-5,0,#N/A
221,5,4.3333333,0.0980392,20,81,-0.604,-0.021,-2,-3,0,#N/A
221,6,4.3333333,0.1176471,17,85,-0.6667,0.0627,3,-4,0,#N/A
221,7,4.3333333,0.1372549,15,92,-0.7196,0.0529,2,-7,0,#N/A
221,8,4.3333333,0.1568627,8,81,-0.8202,0.1006,7,11,0,#N/A
